T;tau;n;x;V;tau - 50;T;T;tau;tau;V;V;V;V;tau
ms;%;;cm;m/s;%;ms;ms;%;%;;;m/s;m/s;
;;;;;;T=100;T=60;tau=30;tau=70;T=1.10;T=0.66;tau=30;tau=70;"Divided by 100 of ""tau"""
30;30;100;0,3;1E-3;-20;30;30;30;30;--;--;1E-3;1E-3;0,3
30;30;100;0,3;1E-3;-20;30;30;30;30;--;--;1E-3;1E-3;0,3
35;30;100;0,4;0,00114285714285714;-20;35;35;30;30;--;--;0,00114285714285714;0,00114285714285714;0,3
35;30;100;0,4;0,00114285714285714;-20;35;35;30;30;--;--;0,00114285714285714;0,00114285714285714;0,3
40;30;100;0,8;0,002;-20;40;40;30;30;--;--;0,002;0,002;0,3
40;30;100;1;0,0025;-20;40;40;30;30;--;--;0,0025;0,0025;0,3
40;30;100;0,8;0,002;-20;40;40;30;30;--;--;0,002;0,002;0,3
45;30;100;2,3;0,00511111111111111;-20;45;45;30;30;--;--;0,00511111111111111;0,00511111111111111;0,3
45;30;100;2,2;0,00488888888888889;-20;45;45;30;30;--;--;0,00488888888888889;0,00488888888888889;0,3
45;30;100;2;0,00444444444444444;-20;45;45;30;30;--;--;0,00444444444444444;0,00444444444444444;0,3
50;30;100;3;0,006;-20;50;50;30;30;--;--;0,006;0,006;0,3
50;30;100;2,8;0,0056;-20;50;50;30;30;--;--;0,0056;0,0056;0,3
50;30;100;2,9;0,0058;-20;50;50;30;30;--;--;0,0058;0,0058;0,3
50;30;100;2,7;0,0054;-20;50;50;30;30;--;--;0,0054;0,0054;0,3
55;30;100;2,8;0,00509090909090909;-20;55;55;30;30;--;--;0,00509090909090909;0,00509090909090909;0,3
55;30;100;3,3;0,006;-20;55;55;30;30;--;--;0,006;0,006;0,3
55;30;100;3,1;0,00563636363636364;-20;55;55;30;30;--;--;0,00563636363636364;0,00563636363636364;0,3
60;30;100;3,1;0,00516666666666667;-20;60;60;30;30;--;0,0153022150993748;0,00516666666666667;0,00516666666666667;0,3
60;30;100;3,8;0,00633333333333333;-20;60;60;30;30;--;0,018757553992782;0,00633333333333333;0,00633333333333333;0,3
60;30;100;3,5;0,00583333333333333;-20;60;60;30;30;--;0,017276694467036;0,00583333333333333;0,00583333333333333;0,3
65;30;100;4,5;0,00692307692307692;-20;65;65;30;30;--;--;0,00692307692307692;0,00692307692307692;0,3
65;30;100;4,8;0,00738461538461538;-20;65;65;30;30;--;--;0,00738461538461538;0,00738461538461538;0,3
65;30;100;5;0,00769230769230769;-20;65;65;30;30;--;--;0,00769230769230769;0,00769230769230769;0,3
70;30;100;4,5;0,00642857142857143;-20;70;70;30;30;--;--;0,00642857142857143;0,00642857142857143;0,3
70;30;100;5,3;0,00757142857142857;-20;70;70;30;30;--;--;0,00757142857142857;0,00757142857142857;0,3
70;30;100;5;0,00714285714285714;-20;70;70;30;30;--;--;0,00714285714285714;0,00714285714285714;0,3
75;30;100;0,3;4E-4;-20;75;75;30;30;--;--;4E-4;4E-4;0,3
75;30;100;0;0;-20;75;75;30;30;--;--;0;0;0,3
75;30;100;0,1;1,33333333333333E-4;-20;75;75;30;30;--;--;1,33333333333333E-4;1,33333333333333E-4;0,3
80;30;50;-2,6;-0,0065;-20;80;80;30;30;--;--;-0,0065;-0,0065;0,3
80;30;50;0;0;-20;80;80;30;30;--;--;0;0;0,3
80;30;50;-2;-0,005;-20;80;80;30;30;--;--;-0,005;-0,005;0,3
80;30;50;-1,5;-0,00375;-20;80;80;30;30;--;--;-0,00375;-0,00375;0,3
85;30;50;-6;-0,0141176470588235;-20;85;85;30;30;--;--;-0,0141176470588235;-0,0141176470588235;0,3
85;30;50;-6,8;-0,016;-20;85;85;30;30;--;--;-0,016;-0,016;0,3
85;30;50;-6,6;-0,0155294117647059;-20;85;85;30;30;--;--;-0,0155294117647059;-0,0155294117647059;0,3
90;30;40;-6,8;-0,0188888888888889;-20;90;90;30;30;--;--;-0,0188888888888889;-0,0188888888888889;0,3
90;30;40;-6,5;-0,0180555555555556;-20;90;90;30;30;--;--;-0,0180555555555556;-0,0180555555555556;0,3
90;30;40;-6,9;-0,0191666666666667;-20;90;90;30;30;--;--;-0,0191666666666667;-0,0191666666666667;0,3
95;30;40;-9,3;-0,0244736842105263;-20;95;95;30;30;--;--;-0,0244736842105263;-0,0244736842105263;0,3
95;30;40;-9,8;-0,0257894736842105;-20;95;95;30;30;--;--;-0,0257894736842105;-0,0257894736842105;0,3
95;30;40;-9,6;-0,0252631578947368;-20;95;95;30;30;--;--;-0,0252631578947368;-0,0252631578947368;0,3
100;30;40;-12,5;-0,03125;-20;100;100;30;30;-0,0925537203591217;--;-0,03125;-0,03125;0,3
100;30;40;-13,4;-0,0335;-20;100;100;30;30;-0,0992175882249784;--;-0,0335;-0,0335;0,3
100;30;40;-12,6;-0,0315;-20;100;100;30;30;-0,0932941501219947;--;-0,0315;-0,0315;0,3
105;30;40;-13,5;-0,0321428571428571;-20;105;105;30;30;--;--;-0,0321428571428571;-0,0321428571428571;0,3
105;30;40;-13,4;-0,0319047619047619;-20;105;105;30;30;--;--;-0,0319047619047619;-0,0319047619047619;0,3
105;30;40;-14,5;-0,0345238095238095;-20;105;105;30;30;--;--;-0,0345238095238095;-0,0345238095238095;0,3
110;30;40;-10,5;-0,0238636363636364;-20;110;110;30;30;--;--;-0,0238636363636364;-0,0238636363636364;0,3
110;30;40;-10,9;-0,0247727272727273;-20;110;110;30;30;--;--;-0,0247727272727273;-0,0247727272727273;0,3
110;30;40;-10,6;-0,0240909090909091;-20;110;110;30;30;--;--;-0,0240909090909091;-0,0240909090909091;0,3
115;30;40;-13;-0,0282608695652174;-20;115;115;30;30;--;--;-0,0282608695652174;-0,0282608695652174;0,3
115;30;40;-12,8;-0,0278260869565217;-20;115;115;30;30;--;--;-0,0278260869565217;-0,0278260869565217;0,3
115;30;40;-13,2;-0,028695652173913;-20;115;115;30;30;--;--;-0,028695652173913;-0,028695652173913;0,3
135;30;40;-14;--;-20;135;135;30;30;--;--;-0,0259259259259259;-0,0259259259259259;0,3
135;30;40;-14,5;--;-20;135;135;30;30;--;--;-0,0268518518518519;-0,0268518518518519;0,3
135;30;40;-14,4;--;-20;135;135;30;30;--;--;-0,0266666666666667;-0,0266666666666667;0,3
155;30;20;-6,3;--;-20;155;155;30;30;--;--;-0,0203225806451613;-0,0203225806451613;0,3
155;30;20;-6,4;--;-20;155;155;30;30;--;--;-0,0206451612903226;-0,0206451612903226;0,3
155;30;20;-5,7;--;-20;155;155;30;30;--;--;-0,0183870967741935;-0,0183870967741935;0,3
175;30;20;-4,2;--;-20;175;175;30;30;--;--;-0,012;-0,012;0,3
175;30;20;-4,1;--;-20;175;175;30;30;--;--;-0,0117142857142857;-0,0117142857142857;0,3
